centre;var;dim;cos2
9;hr;5;0,000111972627845384
1;gender;1;1,95496508149018e-06
1;gender;2;0,0139625226135119
1;gender;3;6,72593515432744e-07
1;gender;4;0,135209831009535
1;gender;5;0,0541256792352541
1;copd;1;1,42520827301791e-07
1;copd;2;9,46994741127331e-06
1;copd;3;0,176209487748536
1;copd;4;0,000149344468914264
1;copd;5;3,29934162424117e-05
1;hypertension;1;0,000479138240154222
1;hypertension;2;0,134953874524426
1;hypertension;3;0,00275995269149217
1;hypertension;4;0,00101872855843444
1;hypertension;5;2,64794153199194e-05
1;previoushf;1;0,12066607864646
1;previoushf;2;0,00179853787867166
1;previoushf;3;0,0422627220065855
1;previoushf;4;9,64897739233432e-05
1;previoushf;5;0,000379561931959729
1;afib;1;1,4350196358287e-05
1;afib;2;0,000271000297053377
1;afib;3;0,0347648513163392
1;afib;4;0,00967560994947944
1;afib;5;0,263950326194461
1;cad;1;0,0345032886352159
1;cad;2;0,100686729456853
1;cad;3;9,60831071602402e-09
1;cad;4;0,000161518611131013
1;cad;5;0,00499854771628114
1;bmi;1;0,00498171375712266
1;bmi;2;3,6505745069978e-06
1;bmi;3;0,205662840080749
1;bmi;4;0,00715546511340269
1;bmi;5;0,022072202961686
1;age;1;0,0635749266450034
1;age;2;0,0322741663367416
1;age;3;0,0127314772612212
1;age;4;3,36367837852164e-05
1;age;5;0,00142636211236582
1;egfr;1;0,0711719966589631
1;egfr;2;0,0115683218121363
1;egfr;3;0,000418151182236764
1;egfr;4;0,00467018534368178
1;egfr;5;0,000293248092482382
1;sbp;1;0,125675737500097
1;sbp;2;0,0966386641066433
1;sbp;3;0,000238360493261352
1;sbp;4;0,00508200719575971
1;sbp;5;0,000607517227372057
1;dbp;1;0,348212305788399
1;dbp;2;0,0273468240471644
1;dbp;3;2,18805594363436e-05
1;dbp;4;1,29601783280584e-10
1;dbp;5;6,76424176212191e-05
1;hr;1;0,0338794103970052
1;hr;2;2,8830643476981e-09
1;hr;3;0,000232060443023581
1;hr;4;0,145079219556723
1;hr;5;3,03272937265511e-07
12;gender;1;0,00644169358083233
12;gender;2;0,000280114144179681
12;gender;3;0,268933652336324
12;gender;4;0,000392337547635385
12;gender;5;4,44537431436606e-05
12;copd;1;0,00907401446464858
12;copd;2;0,021608551690014
12;copd;3;0,0132206907704864
12;copd;4;0,0509053346506019
12;copd;5;4,81954829014358e-09
12;hypertension;1;0,0106049765062283
12;hypertension;2;0,0639403575144119
12;hypertension;3;0,00579699853024463
12;hypertension;4;0,00301696007790609
12;hypertension;5;0,00312871571680654
12;previoushf;1;0,139443576620609
12;previoushf;2;0,002117140386353
12;previoushf;3;0,00172488609463208
12;previoushf;4;0,0100687968310623
12;previoushf;5;0,00510731273677579
