centre;var;dim;cos2
1;bmi;1;0,103663596352196
1;bmi;2;0,294842795568333
1;bmi;3;0,328862412365617
1;bmi;4;0,07438147302076
1;bmi;5;0,198245320879867
1;age;1;0,207968953511671
1;age;2;0,462459826378103
1;age;3;0,00159133368079075
1;age;4;0,00568474818095971
1;age;5;0,316916972095329
1;egfr;1;0,225074715431341
1;egfr;2;0,135291929491525
1;egfr;3;0,118956723683975
1;egfr;4;0,455644116658096
1;egfr;5;0,0648070460428047
1;sbp;1;0,476914680721585
1;sbp;2;0,302899975744846
1;sbp;3;0,0999510848616041
1;sbp;4;0,00960688307018229
1;sbp;5;0,000959474156418508
1;dbp;1;0,737266981069957
1;dbp;2;0,114615161852559
1;dbp;3;0,00308860371019897
1;dbp;4;0,00299457370137292
1;dbp;5;0,00568344776157098
1;hr;1;0,183302907673934
1;hr;2;0,000698416505130516
1;hr;3;0,50832933330667
1;hr;4;0,261044799224976
1;hr;5;0,033807055021313
12;bmi;1;0,0113132767480978
12;bmi;2;0,453360410679431
12;bmi;3;0,180758654994131
12;bmi;4;0,0555601327363507
12;bmi;5;0,296929990762317
12;age;1;0,0497162117464453
12;age;2;0,000181319780993861
12;age;3;0,720747744756947
12;age;4;0,00044758757042168
12;age;5;0,224241110065023
12;egfr;1;0,134399200146327
12;egfr;2;0,334097016469641
12;egfr;3;0,098174658933195
12;egfr;4;0,267765671524489
12;egfr;5;0,165251304113727
12;sbp;1;0,504202741254113
12;sbp;2;0,184898109832594
12;sbp;3;0,105717173041668
12;sbp;4;0,0718444994124775
12;sbp;5;0,0174807117503042
12;dbp;1;0,798980828661938
12;dbp;2;0,0196134910529819
12;dbp;3;0,00954378824095199
12;dbp;4;0,00357019945906696
12;dbp;5;0,00419850479881435
12;hr;1;0,247833489493077
12;hr;2;0,346942494596557
12;hr;3;0,00392467648453682
12;hr;4;0,355519701053945
12;hr;5;0,0102487486587919
13;bmi;1;0,0385421101133976
13;bmi;2;0,316653446732714
13;bmi;3;0,41366015185132
13;bmi;4;0,017814991770263
13;bmi;5;0,213247288749639
13;age;1;0,0299043177971836
13;age;2;0,697485227832027
13;age;3;0,000542338009586355
13;age;4;0,00981053880832492
13;age;5;0,247234093711179
13;egfr;1;0,0476666391330035
13;egfr;2;0,166882533746442
13;egfr;3;0,185614976675732
13;egfr;4;0,518667208624987
13;egfr;5;0,0790273962994549
13;sbp;1;0,56109093905763
13;sbp;2;0,0624430570881988
13;sbp;3;0,165589954850214
13;sbp;4;0,0645117012224863
13;sbp;5;1,74609667750459e-05
13;dbp;1;0,767833884107169
13;dbp;2;2,92348125186004e-05
13;dbp;3;0,0384786146225337
13;dbp;4;0,00813513611936264
13;dbp;5;0,00305893681373006
13;hr;1;0,22726888196805
13;hr;2;0,0154749529122568
13;hr;3;0,280186175826953
13;hr;4;0,338910707594749
13;hr;5;0,113490645010939
15;bmi;1;0,000741633595509301
15;bmi;2;0,0709003845299922
15;bmi;3;0,763007782009665
15;bmi;4;0,0669404274869083
15;bmi;5;0,0962250203415826
15;age;1;0,0096644227651583
15;age;2;0,637909906303922
15;age;3;0,00462451598829009
15;age;4;0,0815434982219422
15;age;5;0,252960756234275
15;egfr;1;0,133823472428596
15;egfr;2;0,212245784384995
15;egfr;3;0,289555734460232
15;egfr;4;0,190753094613006
15;egfr;5;0,170215191362135
15;sbp;1;0,689675027996757
15;sbp;2;0,163780454238442
15;sbp;3;0,0092930405787368
15;sbp;4;0,0105930120420358
15;sbp;5;0,000404891007834505
15;dbp;1;0,800714781603571
15;dbp;2;4,4930795308707e-05
15;dbp;3;0,00933077316444361
15;dbp;4;0,04742377698414
15;dbp;5;0,029093303119389
15;hr;1;0,0142390880241978
15;hr;2;0,403381986730853
15;hr;3;9,90687058971514e-07
15;hr;4;0,5133714083789
15;hr;5;0,0474305127600525
16;bmi;1;0,23703440918061
16;bmi;2;0,00384378407985965
16;bmi;3;0,256009460307293
16;bmi;4;0,455060464446749
16;bmi;5;0,047195547342292
16;age;1;0,0843914528292461
16;age;2;0,510026291424989
16;age;3;0,0239375523292378
16;age;4;0,118212574476175
16;age;5;0,259390927324742
16;egfr;1;0,0594823258818873
16;egfr;2;0,483419226548674
16;egfr;3;0,178191216320614
16;egfr;4;0,00199061292002919
16;egfr;5;0,276792738134508
16;sbp;1;0,810656436336765
16;sbp;2;0,00363450366191499
16;sbp;3;0,0155227980017986
16;sbp;4;0,0319415413643423
16;sbp;5;0,0262561880962515
16;dbp;1;0,805289420937453
16;dbp;2;0,00820746573087524
16;dbp;3;0,00327032385086639
16;dbp;4;0,00683058636126736
16;dbp;5;0,0693037719993106
16;hr;1;0,00129522250685233
16;hr;2;0,287884095259174
16;hr;3;0,476288191414902
16;hr;4;0,234153165840252
16;hr;5;7,39148663313635e-06
17;bmi;1;0,0434120016901654
17;bmi;2;0,0295451763275618
17;bmi;3;0,859673679743943
17;bmi;4;0,014400677786785
17;bmi;5;0,0529618136630543
17;age;1;0,0231827885734582
17;age;2;0,689036076550044
17;age;3;0,0107180522962884
17;age;4;0,00388372629499161
17;age;5;0,2721714239407
17;egfr;1;0,12943680144199
17;egfr;2;0,421679391112116
17;egfr;3;0,0756662094842965
17;egfr;4;0,152171644518166
17;egfr;5;0,220746509833847
17;sbp;1;0,735452073687421
17;sbp;2;0,139866079350554
17;sbp;3;0,000333875403347383
17;sbp;4;0,0319242760204446
17;sbp;5;0,0105599792190165
17;dbp;1;0,854032495962608
17;dbp;2;0,0384480987355864
17;dbp;3;0,000262920584136132
17;dbp;4;0,00672283833693954
17;dbp;5;0,0116929620662573
17;hr;1;0,186303676512797
17;hr;2;0,060430640482203
17;hr;3;0,0657389227777102
17;hr;4;0,672000756998701
17;hr;5;0,0136924230220377
18;bmi;1;0,0637395488900305
18;bmi;2;0,141011180557649
18;bmi;3;0,607400063052246
18;bmi;4;0,0115733222221276
18;bmi;5;0,175761600389731
18;age;1;0,0265851443162123
18;age;2;0,608226879042691
18;age;3;0,0766442750150016
18;age;4;0,00148021547208744
18;age;5;0,285142431344469
18;egfr;1;0,0346820195437988
18;egfr;2;0,408003214423312
18;egfr;3;0,119747193375562
18;egfr;4;0,368283554570925
18;egfr;5;0,0692673446944587
18;sbp;1;0,850415493729645
18;sbp;2;0,00525291777347522
18;sbp;3;0,00583989820004386
18;sbp;4;0,0289222843150233
18;sbp;5;0,00767662472366978
18;dbp;1;0,856463367539965
18;dbp;2;0,0166061587498541
18;dbp;3;0,00238112271136914
18;dbp;4;0,00907352017992329
18;dbp;5;0,0110915699524829
18;hr;1;0,0346323067011
18;hr;2;0,282369137086167
18;hr;3;0,291268335365356
18;hr;4;0,356285599314809
18;hr;5;0,0341030823075085
19;bmi;1;0,0980741820717877
19;bmi;2;0,536779202665809
19;bmi;3;0,00245871698932571
19;bmi;4;0,23118757953777
19;bmi;5;0,130677563346006
19;age;1;0,0534007532296844
19;age;2;0,37172914050864
19;age;3;0,411806574253369
19;age;4;0,0765035498781345
19;age;5;0,0816887093754347
19;egfr;1;0,342539213075511
19;egfr;2;0,0266309750692386
19;egfr;3;0,0121216551364421
19;egfr;4;0,496870145243022
19;egfr;5;0,121786310746287
19;sbp;1;0,576833690711366
19;sbp;2;0,0835791728397237
19;sbp;3;0,278212281897094
19;sbp;4;0,00610383002562234
19;sbp;5;0,00730629458040968
19;dbp;1;0,844809477549754
19;dbp;2;0,0422687689202754
19;dbp;3;0,0128287141827273
19;dbp;4;0,0280544556016084
19;dbp;5;0,00599105489399352
19;hr;1;0,295191990866849
19;hr;2;0,170703924885034
19;hr;3;0,320333135179921
19;hr;4;0,000785913312033584
19;hr;5;0,207412153715446
2;bmi;1;0,234119733342066
2;bmi;2;0,00434077367146419
2;bmi;3;0,453974826218232
2;bmi;4;0,0743147991456487
2;bmi;5;0,23320930849028
2;age;1;0,0509537230661153
2;age;2;0,524272347556462
2;age;3;0,0204174976441449
2;age;4;0,271320472716968
2;age;5;0,132362346472448
2;egfr;1;0,0513641579175024
2;egfr;2;0,402852466127488
2;egfr;3;0,0950877775921431
2;egfr;4;0,442822047306936
2;egfr;5;0,00786872953466809
2;sbp;1;0,849213877557271
2;sbp;2;0,00212382014934544
2;sbp;3;0,0952861206189272
2;sbp;4;0,00204111495855141
2;sbp;5;0,00225886461478941
2;dbp;1;0,816963776206236
2;dbp;2;0,0297058892285236
2;dbp;3;0,091453304726427
2;dbp;4;0,0120528372294946
2;dbp;5;0,00226045159295346
2;hr;1;0,147449106407208
2;hr;2;0,300615097280439
2;hr;3;0,25565588054246
2;hr;4;0,0001297419330843
2;hr;5;0,29599753559258
20;bmi;1;0,0104496387449092
20;bmi;2;0,0215277403581541
20;bmi;3;0,874971833683123
20;bmi;4;0,0602124801358096
20;bmi;5;0,0326747590313775
20;age;1;0,143580582531902
20;age;2;0,39228869702049
20;age;3;0,118754880596504
20;age;4;0,058044003000836
20;age;5;0,286251286558338
20;egfr;1;0,063098623006971
20;egfr;2;0,556591090609773
20;egfr;3;0,000406370549420236
20;egfr;4;0,0821289939566068
20;egfr;5;0,297444302081033
20;sbp;1;0,87008396171174
20;sbp;2;0,0105932055501583
20;sbp;3;0,00186510046977941
20;sbp;4;0,0279090496894663
20;sbp;5;0,000577195872268282
20;dbp;1;0,805278617255437
20;dbp;2;0,0765209645156806
20;dbp;3;0,000855314531353199
20;dbp;4;0,0273008099093366
20;dbp;5;0,00380884109225806
20;hr;1;0,0238397068399477
20;hr;2;0,382492941377578
20;hr;3;0,0294687926578259
20;hr;4;0,561919730945033
20;hr;5;0,0017289360862838
21;bmi;1;0,169789711413417
21;bmi;2;0,205700382641045
21;bmi;3;0,181535010082189
21;bmi;4;0,20975819565205
21;bmi;5;0,232770384374711
21;age;1;0,0336155223146903
21;age;2;0,56404487140749
21;age;3;0,0637610593561551
21;age;4;6,98235180706389e-05
21;age;5;0,33796106192926
21;egfr;1;0,0331967171173176
21;egfr;2;0,325237769759249
21;egfr;3;0,0658934166559478
21;egfr;4;0,473868209941881
21;egfr;5;0,101792935940528
21;sbp;1;0,797198839945632
21;sbp;2;0,0860038803212984
21;sbp;3;0,000269623148071583
21;sbp;4;0,00612584330500777
21;sbp;5;0,00216187650372485
21;dbp;1;0,814670476283312
21;dbp;2;0,0524844518010832
21;dbp;3;0,00837410264931688
21;dbp;4;0,00371752042877292
21;dbp;5;0,0139891476558092
21;hr;1;0,0170221402891516
21;hr;2;0,094620406279226
21;hr;3;0,674547429688305
21;hr;4;0,21209863003307
21;hr;5;0,000253307421963989
22;bmi;1;0,132303903411509
22;bmi;2;0,0852793558694135
22;bmi;3;0,689265476003231
22;bmi;4;0,0463487414235679
22;bmi;5;0,0456651319974202
22;age;1;0,0783718960071307
22;age;2;0,547662906201309
22;age;3;0,00886773925574435
22;age;4;0,0849948854171932
22;age;5;0,279200256242673
22;egfr;1;0,213803077988958
22;egfr;2;0,30800567154103
22;egfr;3;0,0878289911458286
22;egfr;4;0,168311425845481
22;egfr;5;0,222038427496348
22;sbp;1;0,648247199364871
22;sbp;2;0,249193168079599
22;sbp;3;0,00951805550790367
22;sbp;4;0,000100431954207506
22;sbp;5;0,00564376159445465
22;dbp;1;0,802591910317055
22;dbp;2;0,0887826276672773
22;dbp;3;0,00266661101848512
22;dbp;4;0,00705910772345576
22;dbp;5;0,00951204352777931
22;hr;1;0,0310415179463627
22;hr;2;0,314748531841117
22;hr;3;0,142454973765402
22;hr;4;0,50986646068589
22;hr;5;9,76898770434914e-07
23;bmi;1;0,137172995306297
23;bmi;2;0,00225208778974483
23;bmi;3;0,67677652253478
23;bmi;4;0,136465208936046
23;bmi;5;0,0469903349837635
23;age;1;0,00199015065669924
23;age;2;0,559479064291575
23;age;3;0,0825979156448266
23;age;4;0,0600026723949826
23;age;5;0,295929748026298
23;egfr;1;0,0408553752044974
23;egfr;2;0,574979312040992
23;egfr;3;0,02718414513425
23;egfr;4;0,0464828828855343
23;egfr;5;0,303751226446358
23;sbp;1;0,674935685443584
23;sbp;2;0,12347371421376
23;sbp;3;0,00216117371401987
23;sbp;4;0,0930830917103272
23;sbp;5;0,00829979411715418
23;dbp;1;0,829304291861238
23;dbp;2;0,00409056025931397
23;dbp;3;0,021170085908344
23;dbp;4;0,0307808663097597
23;dbp;5;8,9717786731992e-05
23;hr;1;0,222186930601325
23;hr;2;0,0916653115267934
23;hr;3;0,162263694152238
23;hr;4;0,484522555147485
23;hr;5;0,0317162947702511
24;bmi;1;0,0763390081425068
24;bmi;2;0,0207616556900089
24;bmi;3;0,431785261003546
24;bmi;4;0,46993293451927
24;bmi;5;0,00110217891212786
24;age;1;0,00277800798656822
24;age;2;0,651720000647896
24;age;3;0,0302898182304001
24;age;4;0,000346688783695449
24;age;5;0,314671760881656
24;egfr;1;0,0422301804294955
24;egfr;2;0,546747158641378
24;egfr;3;0,0968387598813961
24;egfr;4;0,0334613382440076
24;egfr;5;0,279449028058162
24;sbp;1;0,835155419831995
24;sbp;2;0,0400364829072972
24;sbp;3;0,0196955846669089
24;sbp;4;0,00308374409903642
24;sbp;5;0,0107399190468298
24;dbp;1;0,885347804236505
24;dbp;2;0,000149257121121464
